facility_name,facility_phone,facility_address,facility_type,geo_lng,geo_lat
연신내복싱클럽,23851282,서울특별시 은평구 연서로26길 4 4층(대조동),복싱,126.9199338,37.6171283
세종탁구클럽,222433959,서울특별시 성동구 천호대로 432 지하1층 세종탁구클럽(용답동),탁구,127.0668691,37.5607536
연세휘트니스태권도장,29055970,서울특별시 강북구 삼양로 424 2층(수유동),기타종목,127.017134,37.6414233
연세파워태권도,23848888,"서울특별시 은평구 은평로8길 29 지하1층(응암동, 서강스카이빌3)",태권도,126.919694,37.5977977
연세체능관,222132349,서울특별시 동대문구 황물로 54 3층(답십리동),태권도,127.0470784,37.5726922
세컨무브필라테스요가 강동천호점,24767525,서울특별시 강동구 천호대로 1006 b305(성내동),필라테스,127.1237896,37.5380133
연세정훈태권도자양점,234090992,서울특별시 광진구 능동로6길 14 b01호(자양동),태권도,127.0688106,37.5341776
연세월드태권도,29332323,서울특별시 노원구 누원로 22 403호(상계동),태권도,127.0530611,37.6871033
센터인필라테스 강일점,24819595,서울특별시 강동구 아리수로93나길 50 503호(강일동),필라테스,127.174498,37.5720997
연세대효태권도,23129393,"서울특별시 서대문구 독립문로8길 54 천연뜨란채 아파트 상가B101,102,103(천연동, 천연뜨란채)",태권도,126.9579973,37.5676518
커브스 홍제클럽,23931330,서울특별시 서대문구 통일로39가길 30 5층(홍제동),헬스,126.9428594,37.5893118
올리브언어심리상담센터,264875236,서울특별시 동대문구 답십리로 68 2층(전농동),기타종목,127.0484195,37.5753696
하이파이브교육 성내점,7040351006,"서울특별시 강동구 천호대로 1092 B101 하이파이브심리운동특수체육(성내동, 에스케이허브진)",헬스,127.1326746,37.5352032
국가대표김경식태권도장,24663009,서울특별시 성동구 뚝섬로13길 4 2층(성수동2가),태권도,127.0577564,37.5385383
연광태권도,23898909,서울특별시 은평구 연서로35길 38 1층 연광태권도(불광동),태권도,126.9251798,37.6240764
국가대표넘버원태권도,28145186,"서울특별시 동작구 만양로 26 건영아파트상가218호(상도동, 건영아파트)",태권도,126.9499848,37.5077626
손기정문화체육센터,222808458,"서울특별시 중구 손기정로 101 (서관,체육동) 손기정문화체육센터(만리동2가)",헬스,126.9648158,37.5554795
